ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites,TWA_grouped,CongregantUsers_grouped,LikesACS,State_cleaned,MissingValues,Timeline,state_county,Party,Covid
ACACKA300011,Realm Connect,Active,,2021-11-18,,Dalton,GA,30720-7277,Whitfield,US,Baptist - SBC,Baptist,832,Church,,,False,True,False,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA WHITFIELD,REPUBLICAN,False
ACACKA300014,Realm Connect,Active,,2018-05-25,,Brookhaven,GA,30319-2719,DeKalb,US,Presbyterian - PCUSA,Presbyterian,200,Church,3,6,False,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,GA,0,> 1200 days,GA DEKALB,DEMOCRAT,False
ACACKA30002J,Realm Connect,Active,,2022-02-17,,Sharpsburg,GA,30277,Fayette,US,Baptist - SBC,Baptist,500,Church,,,False,True,False,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA FAYETTE,REPUBLICAN,False
ACACKA30002P,Realm Inform,Active,,2022-02-16,,Columbus,GA,31904-3502,Muscogee,US,Baptist - SBC,Baptist,150,Church,12,248,True,True,True,True,False,False,False,False,True,False,< 1479,< 256,True,GA,0,< 1 Yr,GA MUSCOGEE,DEMOCRAT,False
ACACKA30003B,Realm Connect,Active,,2017-07-31,,Jackson,GA,30233-6748,Butts,US,Baptist - SBC,Baptist,700,Church,6,73,True,True,False,True,False,True,False,False,False,False,< 1479,< 256,True,GA,0,> 1200 days,GA BUTTS,REPUBLICAN,False
ACACKA30004B,Realm Connect,Active,,2019-05-09,,Atlanta,GA,30311-2209,Fulton,US,Baptist - Missionary,Baptist,500,Church,2,0,False,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,GA,0,820 <= days < 1200,GA FULTON,DEMOCRAT,False
ACAPRA10023D,Realm Connect,Active,,2019-12-04,,Stone Mountain,GA,30088-1901,DeKalb,US,African Methodist Episcopal,AME,350,Church,6,25,False,False,True,False,False,False,False,False,False,False,< 1479,< 256,True,GA,0,820 <= days < 1200,GA DEKALB,DEMOCRAT,False
ACAPRA10023H,Realm Inform,Active,,2020-01-07,,Douglasville,GA,30135-2637,Douglas,US,Baptist,Baptist,,Church,1,6,False,False,False,True,False,False,False,False,False,False,N,< 256,True,GA,1,820 <= days < 1200,GA DOUGLAS,DEMOCRAT,False
ACAPRA10023O,Realm Connect,Not Using,Staff change,2017-04-11,2018-12-19,Atlanta,GA,30338-4801,DeKalb,US,Seventh-day Adventist,Seventh-Day Adventist,,Church,,,False,False,False,False,False,False,False,False,False,False,N,N,False,GA,3,> 1200 days,GA DEKALB,DEMOCRAT,False
ACAPRA10057P,Realm Connect,Active,,2020-03-17,,Columbus,GA,31901-2862,Muscogee,US,Christian Methodist Episcopal,Methodist,,Church,3,1,False,False,True,True,False,False,False,False,False,False,N,< 256,True,GA,1,Covid Purchase,GA MUSCOGEE,DEMOCRAT,True
ACG9BA10002X,Realm Connect,Active,,2020-11-11,,Joliet,IL,60435-6099,Will,US,Catholic,Catholic,5700,Church,9,2,False,False,False,False,False,False,False,False,False,False,1479 - 7878,< 256,True,IL,0,365 <= days < 650,IL WILL,DEMOCRAT,False
ACG9BA1000H5,Realm Connect,Active,,2021-07-16,,Decatur,IL,62526-9622,Macon,US,Nazarene,Other,,Church,,,False,False,False,False,False,False,True,False,False,False,N,N,True,IL,3,< 1 Yr,IL MACON,REPUBLICAN,False
